GEOID,AVG_CARBON_AC_UNADJ,ABG_DRYBIO_AC_UNADJ,AVG_VOLCF_AC_UNADJ,AVGDuff_Depth,AVGLitter_Depth
06001,405.9851852,808.8148148,52.98148148,0.5,1.940740741
06003,1316.045763,2525.99661,155.3586441,,
06005,351.5478651,675.8791002,36.46615385,0.366666667,2.405555556
06007,269.6633939,525.9988534,39.94194175,,
06009,745.4266667,1439.353333,86.29266667,0.147619048,1.097619048
06011,163.3116172,313.5565547,20.18304348,,
06013,,0,0,1.05,3
06015,477.6368932,1209.754777,113.8075796,,
06017,645.3508043,1256.363795,100.0097436,0.295327103,1.526168224
06019,662.0932435,1263.027823,93.31341463,,
06021,561.3295455,995.675,44.80980769,0.135483871,1.032258065
06023,1039.074087,2039.075468,148.2407273,,
06025,238.4,0,0,0,0
06027,550.3025641,995.0025641,62.39,,
06029,672.5677366,1254.653221,76.0612069,0.269135802,0.869135802
06033,388.775972,762.6161605,59.4731746,0.112727273,1.018181818
06035,415.1510303,797.9619187,65.35616915,,
06037,944.075,1298.833333,145.9833333,0.090384615,0.701923077
06039,813.3017854,1564.184787,118.0410769,,
06041,145.2,286,15.2575,0,0.842857143
06043,474.3033989,921.377551,50.30612245,,
06045,732.6835441,1358.460591,110.9149754,0.256707317,1.412195122
06047,,0,0,,
06049,962.1256088,1847.59,108.0435938,0.106849315,0.374657534
06051,225.9930233,442.7488372,30.36930233,,
06053,981.9255814,2218.583333,106.2513889,0.98,1.503333333
06055,444.05,0,0,,
06057,275.006199,540.4455095,36.06685714,0.324137931,1.762068966
06059,,0,0,,
06061,408.5786558,798.0340975,66.73091667,0.137662338,0.601298701
06063,439.7235125,848.2640767,75.40885246,,
06065,,0,0,0.133333333,1.375
06067,,0,0,,
06069,,0,0,0,0.3375
06071,358.6876234,1153.137931,67.19405797,,
06073,726.2375,1540.136364,69.21181818,0.111111111,0.822222222
06077,,0,0,0.05,0.533333333
06079,135.225,275.25,20.6,,
06081,464.875,1033.75,71.89416667,0.56,2.3
06083,683,1391.428571,75.49428571,,
06085,353.2166667,545.8888889,29.52833333,1.047368421,1.868421053
06087,562.9625,1116.7,59.97875,,
06089,588.4086948,1059.633211,89.47474138,0.578082192,1.412328767
06091,381.1181818,735.1792208,71.21324675,,
06093,431.0748203,846.2276165,62.94889908,0.403846154,1.16183432
06095,,0,0,,
06097,674.5217949,1339.637783,77.08025974,0.26122449,1.118367347
06099,,0,0,,
06101,,0,0,0,0
06103,525.2670989,1037.773715,87.17343511,,
06105,811.8689571,1472.825705,121.8838108,0.351054852,1.250632911
06107,795.3358351,1509.572794,119.9776471,,
06109,681.6946331,1320.820655,84.48466165,0.275,1.397093023
06111,205.1615385,625.53125,46.25375,,
06113,193.4,375.5,34.85,0,0.266666667
06115,224.9535792,447.695005,30.04184211,,
