GEOID,YEAR,AVG_DRYBIO_AC_UNADJ,AVG_CARBON_AC_UNADJ,AVG_VOLCF_AC_UNADJ,AVGDuff_Depth,AVGLitter_Depth,Fire
06001,2007,654.5,47.125,1909.123404,0.5875,0.065,0
06003,2007,978.8340426,115.2031915,1453.7504,0,0,0
06005,2007,739.2851372,74.92306667,1086.621644,1.61,0.247169811,4
06007,2007,548.0000915,78.11028846,519.6311111,0,0,0
06009,2007,266.0725818,39.60577778,373.5412457,1.450943396,0.54,0
06011,2007,193.3744186,22.95418605,0,0,0,0
06013,2007,0,0,1316.816,1.28,0.322222222,0
06015,2007,682.3766667,88.09833333,1223.8218,0,0,0
06017,2007,625.5333409,76.22789474,1436.107596,1.366666667,0.473913043,0
06019,2007,741.2724191,96.97737705,792.3125,0,0,2
06021,2007,406.215625,50.313125,1583.493567,0.456521739,0,0
06023,2007,816.7621622,120.7161988,380.7428571,0,0,0
06025,2007,186.9571429,25.92285714,1156.977697,0.01875,0.3609375,0
06027,2007,602.2354839,70.16516129,1586.724976,0,0,1
06029,2007,825.1033952,109.0842105,0,0.675,0.025,0
06031,2007,0,0,0,0,0,0
06033,2007,0,0,993.7091645,0.1375,0.25862069,0
06035,2007,513.6937425,68.37622711,949.1,0,0,6
06037,2007,470.1032258,57.68806452,1242.532986,1.54137931,0.8625,0
06039,2007,645.7442279,98.4043299,1172.428571,0,0,1
06041,2007,581.6857143,62.69,1325.027249,1.9125,0.270247934,0
06043,2007,688.1385854,81.51313433,1053.632121,0,0,1
06045,2007,537.8223051,69.3576,0,1.534710744,0.05971223,0
06047,2007,0,0,444.3070777,0,0,0
06049,2007,231.1339737,27.18031915,920.1332212,0.588489209,0.161538462,2
06051,2007,478.3253731,45.81238806,1014.296296,0,0,0
06053,2007,506.8592593,58.36851852,1028.571429,0.918461538,0.21627907,1
06055,2007,508.5142857,42.31142857,727.6280702,0,0,0
06057,2007,372.0555534,49.05403509,0,0.91627907,0.23220339,2
06059,2007,0,0,1213.626606,0,0,1
06061,2007,620.9183486,84.97211009,776.44981,1.493220339,0.272727273,1
06063,2007,398.8089417,56.5289916,1276.8875,0,0,2
06065,2007,628.6875,87.9075,0,0.5,0,1
06067,2007,0,0,0,0,0,0
06069,2007,0,0,2366.236842,0,1.595238095,0
06071,2007,1193.057895,144.3805263,110,0,0,0
06073,2007,54.1,7.13,0,1.538095238,0,0
06075,2007,0,0,0,0,0,0
06077,2007,0,0,242.4285714,0,0.3,0
06079,2007,118.8428571,11.77428571,620,0,0,0
06081,2007,304.5,42,275,1.2875,0.235,4
06083,2007,140.8,13.465,700.3055556,0,0,2
06085,2007,352.1388889,37.39972222,1499.262697,2.0875,0.286413043,4
06087,2007,763.1578947,69.58736842,1018.979346,0,0,1
06089,2007,518.0417902,68.94580071,1161.987152,1.284782609,0.493296089,0
06091,2007,599.0882561,79.30428571,1059.756422,0,0,0
06093,2007,548.3584711,75.77178891,0,1.12877095,0.167567568,1
06095,2007,0,0,957.888921,0,0,0
06097,2007,485.4983647,56.73205479,591.5,2.081081081,0,0
06099,2007,290.5,24.15,0,0,0,0
06101,2007,0,0,1068.066314,0,0.244632768,0
06103,2007,548.7646535,78.97544828,1074.233068,0,0,1
06105,2007,551.9092436,73.22264095,1950.901428,1.453672316,0.454054054,0
06107,2007,1006.093774,131.8054483,1357.13464,0,0,0
06109,2007,697.8051099,88.11207792,559.1296296,1.227927928,0,0
06111,2007,280.9777778,33.49888889,0,0,0,0
06113,2007,0,0,444.2857143,0,0,0
06115,2007,218.1428571,18.10857143,0,0,0,0
